历史行情.指标排序沪深Ａ股 日期:2017-07-21,五 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000514	渝 开 发	-2.71	8.63	23641828	206472352	0.323	0.199	0.246	0.715	0.269	7.956	9.135	6.776	-0.862	4.479	9.547	
000516	国际医学	-1.16	5.11	10296642	52829624	-0.157	-0.131	-0.053	-0.260	-0.251	5.391	5.836	4.947	0.327	-3.128	-5.814	
000517	荣安地产	-0.86	4.59	10766598	49420272	-0.041	-0.043	0.004	-0.097	-0.071	4.574	4.811	4.336	2.493	1.699	0.000	
000518	四环生物	2.32	7.93	6887170	54356932	0.119	0.112	0.013	0.380	0.360	7.700	7.985	7.414	2.257	2.301	4.308	
000519	中兵红箭	1.99	12.33	21433284	262086752	-0.166	-0.033	-0.266	0.011	0.361	12.815	14.224	11.406	2.579	-3.828	-3.168	
000520	长航凤凰	0.18	5.58	6757959	37794124	-0.110	-0.093	-0.034	-0.193	-0.140	5.765	6.056	5.474	0.000	-2.105	-3.772	
000521	美菱电器	0.84	6.03	6364576	38370168	-0.072	-0.028	-0.088	-0.014	0.114	6.273	6.775	5.770	1.033	-1.698	-3.648	
000523	广州浪奇	-1.26	9.43	3519900	33242090	-0.083	-0.046	-0.074	-0.081	0.049	9.734	10.162	9.306	-0.632	-2.051	-3.166	
000524	岭南控股	-0.32	12.35	1447000	17905102	-0.105	-0.060	-0.089	-0.068	0.114	12.694	13.347	12.042	-1.134	-2.107	-2.686	
000525	红 太 阳	1.61	18.98	5571291	105313648	0.328	0.302	0.053	1.158	1.032	18.248	19.052	17.444	3.527	3.152	5.240	
000526	*ST紫学	-0.60	31.46	1057016	33327360	-0.237	-0.882	1.289	-2.603	-4.569	29.642	32.971	26.312	-1.672	3.379	6.638	
000528	柳 工	1.84	9.42	34127772	321036160	0.268	0.218	0.100	0.722	0.597	8.830	9.377	8.283	2.970	5.026	8.105	
000529	广弘控股	0.37	8.18	2247008	18353720	-0.280	-0.167	-0.227	-0.441	-0.240	8.949	9.888	8.010	-2.036	-7.605	-8.828	
000530	大冷股份	-0.56	7.15	6507966	46542828	0.035	0.085	-0.100	0.382	0.404	7.335	7.785	6.886	-0.325	-3.084	-1.932	
000531	穗恒运Ａ					-0.178	-0.088	-0.179	-0.152	0.035	9.415	10.108	8.723	0.298	-3.229	-4.880	
000532	华金资本	-0.64	12.50	3753700	46702480	-0.523	-0.350	-0.346	-0.885	-0.317	13.746	15.536	11.955	-0.253	-5.974	-9.774	
000533	万 家 乐	-1.20	10.68	2387221	25615990	0.099	0.150	-0.101	0.454	0.592	10.852	11.506	10.197	-0.974	-2.473	-0.547	
000534	万泽股份	0.91	11.10	958101	10539467	-0.399	-0.360	-0.079	-1.015	-0.721	11.581	12.688	10.474	0.726	-1.370	-5.722	
000536	华映科技	1.90	5.37	6661385	35466140	-0.135	-0.087	-0.097	-0.204	-0.071	5.683	6.136	5.230	-0.186	-3.720	-5.748	
000537	广宇发展	2.54	7.66	6160589	46963456	-0.185	-0.135	-0.100	-0.325	-0.053	7.878	8.605	7.151	3.374	-0.498	-3.212	
000538	云南白药	-0.82	90.85	2327293	211720592	-0.262	-0.214	-0.096	-0.632	0.158	90.897	94.976	86.818	1.012	1.077	-0.524	
000539	粤电力Ａ	-1.46	5.39	10444972	56625712	0.021	0.011	0.020	0.050	0.044	5.320	5.407	5.233	0.905	1.110	1.411	
000540	中天金融	0.37	8.11	215431648	1749226240	0.358	0.215	0.285	0.708	0.440	6.957	7.924	5.990	7.726	13.865	18.207	
000541	佛山照明	-0.67	8.90	4771700	42530976	-0.056	-0.022	-0.068	0.003	0.096	9.113	9.390	8.835	-0.503	-2.189	-2.354	
000543	皖能电力	-0.54	5.56	7931630	44361544	-0.061	-0.034	-0.054	-0.044	0.074	5.721	6.046	5.396	0.877	-1.302	-2.953	
000544	中原环保	-1.22	20.30	3369274	68888240	0.031	0.216	-0.371	0.583	1.249	21.006	22.234	19.778	-0.571	-3.360	-3.078	
000545	金浦钛业	1.12	6.34	44851828	282295232	0.162	0.142	0.040	0.478	0.399	6.019	6.461	5.577	2.783	2.894	6.914	
000546	金圆股份	-2.51	11.25	19604628	221641424	0.148	0.131	0.034	0.516	0.554	11.002	11.653	10.352	2.771	2.041	3.132	
000547	航天发展	0.82	9.79	9892850	96570664	-0.218	-0.165	-0.106	-0.244	-0.103	10.191	10.962	9.419	0.928	-2.141	-4.196	
