历史行情.指标排序沪深Ａ股 日期:2017-07-20,四 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
002515	金字火腿	1.81	9.54	5425495	51496920	0.071	0.176	-0.209	62.238	62.238	-54.769	513696.8	545167.4	
002516	旷达科技	0.38	5.32	4826924	25831402	-0.033	-0.004	-0.058	65.714	65.714	-77.677	534148.0	421643.1	
002517	恺英网络	2.79	33.20	4180392	136945696	-0.328	-0.101	-0.454	58.205	64.719	-65.868	100309.1	178880.0	
002518	科士达	0.19	15.88	2499041	39686108	0.321	0.289	0.064	13.559	13.559	109.516	339886.3	235718.1	
002519	银河电子	1.34	6.82	6553043	44679448	-0.340	-0.226	-0.228	83.436	87.838	-121.135	-462596.8	-109635.0	
002520	日发精机	6.52	9.96	8702296	85229408	0.054	0.052	0.005	10.577	7.971	77.937	447933.8	148629.5	
002521	齐峰新材	-0.90	9.93	3765458	37496828	-0.002	0.016	-0.036	75.676	65.882	-87.646	17241.12	-147810.8	
002522	浙江众成	-1.18	14.28	4427645	63518156	-0.516	-0.396	-0.240	90.657	91.205	-133.142	-471205.5	-392704.9	
002523	天桥起重	-0.95	5.24	3211300	16880756	-0.041	-0.033	-0.017	76.364	76.364	-67.179	8575.316	-9186.438	
002524	光正集团	-0.13	7.78	20557850	161453072	-0.133	0.014	-0.295	68.978	56.418	-64.797	-273524.7	574255.8	
002526	山东矿机	5.76	7.71	19546172	151349568	-0.030	-0.064	0.069	25.833	22.628	119.475	123996.0	-104073.3	
002527	新时达	0.20	10.12	1686405	17145310	-0.134	-0.073	-0.123	72.381	72.381	-97.778	-214676.8	-132367.9	
002528	英飞拓	-0.73	5.41	3010822	16386843	-0.098	-0.053	-0.091	81.609	82.022	-110.935	31495.04	33211.29	
002529	海源机械	6.35	16.75	3579624	59154120	-0.192	0.019	-0.423	51.527	54.643	-61.349	122330.1	135664.5	
002530	金财互联	-4.16	27.17	2961855	81512064	-0.353	-0.024	-0.658	95.502	66.493	-136.077	-170444.1	-127899.1	
002531	天顺风能	0.47	6.39	3486495	22288126	-0.103	-0.075	-0.056	68.627	80.488	-96.922	-271759.3	-25818.41	
002532	新界泵业	0.90	7.87	6416246	50459220	-0.107	-0.018	-0.178	73.154	73.154	-99.335	58098.55	-94524.18	
002533	金杯电工	0.27	7.30	2842670	20759454	-0.066	-0.007	-0.118	79.070	79.070	-108.827	95328.64	5206.773	
002534	杭锅股份	0.37	10.99	11481958	125291552	0.366	0.231	0.269	10.734	8.716	150.999	795902.9	171987.4	
002535	林州重机	1.18	5.13	6344023	32562696	-0.044	-0.010	-0.069	63.889	63.889	-68.911	195002.8	-19904.51	
002536	西泵股份	3.19	13.89	8708298	120081952	0.354	0.340	0.028	28.502	20.922	42.733	397815.7	247324.2	
002537	海立美达	0.83	10.96	3389306	37421968	-0.288	-0.104	-0.367	82.773	82.773	-103.515	8188.935	92607.18	
002538	司尔特	0.22	9.27	6483400	60041020	0.041	0.013	0.057	22.222	17.647	152.298	-81636.95	-256532.4	
002539	云图控股	0.13	7.70	4847867	37406100	-0.202	-0.047	-0.310	88.024	89.691	-111.256	-27989.65	146764.8	
002540	亚太科技	-0.43	6.95	6655053	46354672	-0.020	0.008	-0.056	57.576	57.576	-51.929	208968.3	232158.1	
002541	鸿路钢构	0.25	16.21	900419	14623167	-0.236	-0.098	-0.277	72.430	72.936	-100.117	-32993.54	-37448.11	
002542	中化岩土	-1.55	9.50	25417504	245127888	-0.861	-0.663	-0.394	92.208	95.082	-108.096	2491829.5	3453427.5	
002543	万和电气	0.29	21.00	2141031	45022220	-0.741	-0.243	-0.997	86.408	88.871	-139.494	85834.00	211384.5	
002544	杰赛科技	0.10	19.33	3519292	68081496	-0.910	-0.543	-0.734	85.799	88.785	-122.284	-240104.6	1182.691	
002545	东方铁塔	0.00	12.17	1999050	24320158	0.121	0.191	-0.141	57.009	55.455	-53.659	81907.86	217995.0	
002546	新联电子	0.00	5.65	2769960	15752727	-0.066	-0.018	-0.096	65.753	65.753	-85.427	136894.1	77110.60	
002547	春兴精工													
002548	金新农	0.09	10.76	1537189	16576490	-0.346	-0.212	-0.270	79.661	81.538	-118.082	92668.99	148927.7	
002549	凯美特气	-0.28	7.08	2057664	14608644	-0.127	-0.089	-0.077	68.889	74.545	-103.231	10969.11	49690.34	
002550	千红制药	0.89	5.68	4014399	22799922	-0.086	-0.053	-0.066	67.797	68.333	-93.283	-614844.9	-284984.4	
002551	尚荣医疗	0.43	9.30	5955289	55356408	-0.349	-0.187	-0.324	81.991	83.186	-121.012	311364.6	374778.1	
002552	宝鼎科技	0.19	10.66	2019978	21622672	-0.543	-0.397	-0.293	83.951	93.061	-99.677	-687839.7	-461421.8	
002553	南方轴承	1.39	10.94	2698200	29337004	-0.070	0.045	-0.230	69.231	69.231	-88.443	109144.1	-7716.201	
002554	惠博普	-0.92	5.38	8003700	43443540	-0.191	-0.143	-0.095	78.481	83.962	-104.119	1653205.1	1998994.0	
002555	三七互娱	-0.79	22.68	6134815	141755440	-0.568	-0.355	-0.427	65.756	72.924	-53.220	-263386.4	138674.9	
002556	辉隆股份	0.87	6.97	7852000	55632716	-0.053	-0.009	-0.088	57.447	57.447	-76.721	-153663.5	-201914.1	
002557	洽洽食品	0.52	13.57	1056198	14368429	-0.149	-0.052	-0.194	71.127	73.026	-60.038	13444.19	80635.07	
002558	巨人网络	0.35	43.35	1740067	75489968	-0.603	-0.403	-0.401	70.717	60.170	-129.417	-69901.69	-32689.95	
002559	亚威股份	3.69	11.53	7865067	90989848	0.088	0.079	0.018	22.689	22.131	173.504	278529.3	133249.1	
002560	通达股份	0.89	7.95	5297883	42153924	-0.185	-0.029	-0.313	86.628	88.384	-108.960	599524.8	457267.6	
002561	徐家汇	-0.08	12.88	5285378	68415032	-0.078	0.005	-0.166	80.588	80.588	-89.451	605349.9	563847.5	
002562	兄弟科技	-0.39	12.62	5048997	64366752	-0.106	0.045	-0.301	70.270	70.270	-91.517	24548.58	128351.3	
002563	森马服饰	0.25	7.92	3947805	31168208	-0.181	-0.133	-0.096	79.012	83.495	-90.679	-417948.2	-225791.8	
002564	天沃科技	-0.80	8.72	6896831	60512880	-0.232	-0.229	-0.006	80.374	86.335	-91.901	396972.6	352082.9	
002565	顺灏股份	1.71	6.53	4410010	28773290	-0.326	-0.250	-0.152	73.485	80.874	-104.326	-166472.6	120292.6	
002566	益盛药业	0.00	9.85	3388445	33446360	-0.286	-0.118	-0.336	86.956	87.166	-143.784	-191422.9	-17271.15	
002567	唐人神					-0.228	-0.180	-0.097	50.581	51.429	-52.573	1443.530		
002568	百润股份	-0.42	16.42	1889997	31164086	-0.080	-0.017	-0.126	87.727	80.083	-128.569	-143852.4	-96036.63	
002569	步森股份													
002570	贝因美					-0.183	-0.070	-0.226	100.000	100.000	-354.017	48328.90	217842.5	
002571	*ST德力	0.00	6.70	5726501	38494528	-0.219	-0.173	-0.093	83.019	83.636	-138.237	-144530.3	-159811.9	
002572	索菲亚	1.24	39.97	3226253	128291928	0.133	0.173	-0.080	39.461	39.461	50.365	165349.3	208797.5	
002573	清新环境	0.35	17.00	9338017	159352064	-0.463	-0.286	-0.353	83.901	83.901	-110.012	-1450864.6	-1547852.1	
002574	明牌珠宝	0.35	8.53	4239887	36189428	-0.025	0.023	-0.097	63.366	63.366	-86.878	459995.7	230484.8	
002575	群兴玩具	-1.57	9.39	11987415	114977256	-0.070	-0.215	0.289	23.333	23.333	140.758	-1413.118	-106538.9	
002576	通达动力													
002577	雷柏科技	2.98	20.41	4780975	98181680	-0.718	-0.365	-0.706	74.686	80.578	-80.682	-62593.93	16196.10	
002578	闽发铝业	-1.79	4.95	24031454	119048768	0.145	0.101	0.088	20.000	19.753	91.803	2003309.3	841697.4	
002579	中京电子	1.94	9.99	2516037	24976968	-0.261	-0.142	-0.238	72.881	81.395	-76.173	-9393.892	77719.23	
002580	圣阳股份	0.00	7.00	7051130	49968064	-0.189	-0.062	-0.255	83.436	83.436	-109.861	181456.1	222226.7	
002581	未名医药					-0.289	-0.281	-0.017	68.333	77.866	-238.588	-321960.2	-157751.5	
002582	好想你	-0.95	14.64	24463910	358903936	0.679	0.389	0.580	18.571	17.060	95.376	882005.1	443241.5	
002583	海能达	0.00	16.31	3621377	59149032	0.233	0.259	-0.051	38.514	26.636	58.578	259169.0	165021.4	
002584	西陇科学	0.80	13.84	8045400	111439792	0.024	0.018	0.013	30.108	35.323	85.118	1421117.1	1209622.0	
002585	双星新材	0.68	7.39	8375154	61977084	-0.111	-0.088	-0.045	50.000	56.098	-22.770	52733.29	59966.41	
002586	围海股份													
002587	奥拓电子	0.00	7.28	3694525	27083740	-0.074	-0.061	-0.027	30.233	46.429	-26.512	-110297.2	-68682.05	
002588	史丹利	0.15	6.85	6039585	41393276	-0.212	-0.115	-0.193	83.186	83.898	-107.353	-429490.3	-372135.8	
002589	瑞康医药	-1.96	15.49	12874193	201447344	0.067	0.052	0.030	75.431	61.620	-18.557	-797428.8	-357802.8	
002590	万安科技	0.00	13.50	7434669	101245064	-0.042	0.204	-0.494	87.080	87.080	-96.634	382775.2	217731.5	
002591	恒大高新	-0.41	12.24	4036850	49922672	-0.502	-0.130	-0.743	93.352	95.911	-113.486	-122188.4	118855.6	
002592	八菱科技	0.82	26.95	771329	20645342	-0.436	-0.240	-0.391	74.488	74.488	-91.317	63178.27	56726.66	
002593	日上集团	0.20	5.03	3143366	15831757	-0.034	0.000	-0.069	71.875	71.875	-94.845	150520.1	65405.27	
002594	比亚迪	0.99	50.08	3591887	179475936	-0.166	-0.038	-0.255	50.877	66.265	-22.456	64853.05	133729.0	
002595	豪迈科技	0.05	20.96	785905	16495334	-0.224	-0.134	-0.179	77.273	77.273	-62.609	6709.361	24946.01	
002596	海南瑞泽					-0.061	-0.038	-0.045	67.924	67.924		-72545.23		
002597	金禾实业	-0.61	21.10	8047800	170462864	0.134	0.238	-0.208	44.974	41.350	9.488	487336.7	543810.0	
002598	山东章鼓	-0.27	11.14	1602300	18004924	0.044	0.125	-0.162	41.333	38.994	-12.643	187372.4	139878.6	
002599	盛通股份	0.94	13.89	3736720	51274000	-0.365	-0.267	-0.197	67.083	68.898	-97.585	-104746.5	-17569.83	
002600	江粉磁材													
002601	龙蟒佰利	1.11	19.16	68671696	1311516288	0.819	0.676	0.286	10.803	7.429	120.115	3242156.3	300341.0	
002602	世纪华通	3.20	36.11	2327124	83375080	0.276	0.560	-0.568	44.444	37.158	-80.307	404041.5	365796.5	
002603	以岭药业	-0.78	16.53	4170307	69430344	-0.037	0.075	-0.224	77.914	77.914	-105.958	98119.04	105373.7	
002604	龙力生物	1.12	9.01	6497521	58685156	-0.045	0.009	-0.107	62.500	62.500	-70.929	-154107.2	-94601.16	
002605	姚记扑克	-1.46	12.80	2501050	32228500	-0.204	-0.048	-0.313	93.023	93.644	-125.755	242008.9	272055.7	
002606	大连电瓷													
002607	亚夏汽车	-0.48	4.19	7301193	30887184	-0.088	-0.031	-0.114	80.000	85.263	-97.504	135703.8	257103.2	
002608	江苏国信	0.17	11.77	3844140	45232564	-0.174	-0.088	-0.173	57.927	67.453	-95.181	-496190.4	-183018.3	
002609	捷顺科技	3.09	15.37	3270948	49670744	-0.003	0.014	-0.035	25.000	25.000	4.106	-199490.6	-166894.0	
002610	爱康科技					-0.043	-0.014	-0.058	75.610	75.610		-2189733.3		
002611	东方精工	5.33	14.42	8649851	123435952	0.120	0.212	-0.184	38.384	27.333	-26.072	233856.2	136130.3	
002612	朗姿股份	-0.39	12.81	1326100	17085912	-0.245	-0.154	-0.182	81.013	84.848	-102.056	146950.5	173500.6	
002613	北玻股份	-0.89	4.43	4513611	20200876	-0.152	-0.101	-0.103	85.526	89.320	-84.266	596941.6	666384.4	
002614	奥佳华	1.56	17.53	3855724	66853500	0.088	0.275	-0.372	65.975	56.383	-63.953	604711.1	483538.6	
002615	哈尔斯	-1.90	9.79	3554150	35248960	-0.255	-0.100	-0.311	87.151	88.384	-104.465	-146352.8	60712.14	
002616	长青集团	-0.10	9.90	10708122	106955816	-0.619	-0.453	-0.332	88.417	92.840	-127.304	587423.6	1786688.1	
002617	露笑科技	0.07	14.08	1843204	25962094	-0.219	-0.104	-0.228	63.975	79.861	-108.657	-218136.7	-67233.69	
002618	丹邦科技	2.14	10.51	2751280	29037624	-0.429	-0.268	-0.321	81.696	86.242	-99.296	-68742.40	-33427.57	
002619	巨龙管业					-0.339	-0.180	-0.318	98.636	98.636		-393927.3		
