历史行情.指标排序沪深Ａ股 日期:2017-07-19,三 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000528	柳 工	1.41	9.33	44202188	408681056	0.237	0.195	0.084	0.655	0.553	8.708	9.292	8.124	3.667	5.404	8.284	
000529	广弘控股	0.74	8.14	5481414	44056764	-0.216	-0.109	-0.213	-0.285	-0.233	9.019	9.799	8.239	-7.060	-9.648	-10.171	
000530	大冷股份	0.70	7.16	8689804	61606992	0.063	0.110	-0.093	0.438	0.370	7.339	7.797	6.881	-2.186	-3.090	-1.406	
000531	穗恒运Ａ	3.93	8.99	4000563	35385868	-0.178	-0.088	-0.179	-0.152	0.035	9.415	10.108	8.723	0.298	-3.229	-4.880	
000532	华金资本	0.00	12.33	3141898	38400632	-0.483	-0.257	-0.451	-0.569	-0.150	13.922	15.534	12.309	-3.922	-9.188	-12.106	
000533	万 家 乐	-0.37	10.84	3660720	39427896	0.139	0.172	-0.067	0.550	0.567	10.795	11.570	10.019	-0.123	-1.589	1.391	
000534	万泽股份	1.67	10.98	1319760	14392102	-0.419	-0.334	-0.170	-0.894	-0.580	11.748	12.987	10.509	-0.753	-3.663	-7.854	
000536	华映科技	0.38	5.32	7178097	37989704	-0.115	-0.061	-0.108	-0.125	-0.043	5.720	6.099	5.342	-3.067	-6.187	-7.438	
000537	广宇发展	1.25	7.31	3516948	25549594	-0.200	-0.103	-0.195	-0.207	0.031	7.928	8.627	7.230	-2.120	-6.162	-8.166	
000538	云南白药	0.46	89.31	2979690	267346384	-0.508	-0.168	-0.679	-0.631	0.826	91.160	95.644	86.676	-0.112	-0.351	-2.310	
000539	粤电力Ａ	1.14	5.33	6147425	32642592	0.005	0.006	-0.002	0.033	0.041	5.304	5.351	5.257	0.503	0.392	0.527	
000540	中天金融	1.72	7.70	240135648	1839151232	0.234	0.148	0.172	0.504	0.384	6.794	7.411	6.177	8.885	11.946	14.811	
000541	佛山照明	1.13	8.95	6163269	54622336	-0.040	-0.005	-0.070	0.073	0.107	9.127	9.377	8.878	-1.032	-1.998	-1.994	
000543	皖能电力	1.66	5.52	7146595	39156232	-0.062	-0.019	-0.087	0.004	0.109	5.741	6.052	5.430	-0.151	-2.917	-3.791	
000544	中原环保	0.49	20.31	3574075	72167456	0.104	0.310	-0.411	0.999	1.400	21.043	22.214	19.872	-1.216	-3.934	-2.869	
000545	金浦钛业	2.61	6.28	57737256	359049504	0.147	0.133	0.029	0.470	0.344	5.936	6.446	5.426	2.280	3.275	7.053	
000546	金圆股份	10.01	11.32	20436488	225484208	0.089	0.124	-0.071	0.521	0.565	10.928	11.551	10.305	4.268	3.489	4.831	
000547	航天发展	1.05	9.59	9706791	92188232	-0.216	-0.134	-0.163	-0.139	-0.110	10.236	10.946	9.526	-2.259	-5.455	-6.799	
000548	湖南投资	2.59	7.92	15157581	118791560	0.094	0.043	0.102	0.258	0.060	7.469	7.987	6.951	1.996	3.654	5.971	
000550	江铃汽车	1.36	20.83	4208529	89414152	0.136	0.126	0.020	0.952	0.676	20.566	21.369	19.763	0.144	-0.040	1.622	
000551	创元科技	2.01	8.61	5917852	50487868	-0.306	-0.201	-0.211	-0.431	-0.179	9.268	10.094	8.442	-1.806	-5.072	-8.800	
000552	靖远煤电	5.21	4.04	93918032	371617888	0.094	0.063	0.061	0.238	0.166	3.632	3.914	3.349	7.352	8.993	12.015	
000553	沙隆达Ａ	3.68	13.81	8173323	110502048	0.149	0.241	-0.185	0.895	0.897	13.774	15.009	12.540	-0.181	-2.005	0.861	
000554	泰山石油	2.31	7.96	9548754	75467144	-0.199	-0.200	0.001	-0.468	-0.691	8.184	8.627	7.742	-1.220	-3.065	-3.020	
000555	神州信息					-0.057	-0.138	0.163	-0.296	-0.566	16.587	17.136	16.038	-0.199	-0.020	1.269	
000557	西部创业					-0.212	-0.106	-0.211	-0.391	-0.008	6.443	7.682	5.204	1.597	-3.530	-9.840	
000558	莱茵体育	1.24	6.55	9119014	59171164	-0.270	-0.139	-0.262	-0.289	0.092	7.386	8.296	6.476	-3.982	-8.498	-12.652	
000559	万向钱潮	1.42	10.00	13269570	132028216	0.040	0.142	-0.205	0.407	0.728	10.331	10.995	9.667	-0.299	-2.669	-2.546	
000560	昆百大Ａ	0.24	8.44	1468463	12325577	-0.106	-0.058	-0.094	-0.065	-0.110	8.805	9.207	8.403	-1.993	-3.827	-4.304	
000561	烽火电子	0.85	9.53	3046363	28876772	-0.140	-0.032	-0.215	0.143	0.229	10.182	10.944	9.420	-2.772	-6.385	-6.736	
000563	陕国投Ａ	2.08	5.89	143574704	827146304	0.135	0.061	0.148	0.242	0.061	5.260	5.718	4.801	7.514	10.128	13.442	
000564	供销大集	0.42	7.14	17448976	123321072	0.063	-0.023	0.173	0.030	-0.163	6.551	6.979	6.123	5.569	7.692	8.683	
000565	渝三峡Ａ	0.72	9.73	9580232	91840480	-0.006	0.034	-0.080	0.140	0.097	10.032	10.681	9.383	-2.959	-3.528	-2.594	
000566	海南海药	0.08	13.15	4414695	57822440	0.029	0.029	-0.000	0.067	0.003	13.208	13.510	12.906	-1.474	-0.948	-0.413	
000567	海德股份	3.81	28.08	6614981	179775360	0.659	0.570	0.179	2.032	1.844	26.458	28.310	24.606	3.750	5.109	7.170	
000568	泸州老窖	2.91	49.92	9382072	466896832	0.142	0.269	-0.256	0.606	1.332	49.465	51.907	47.022	2.218	2.463	1.011	
000570	苏常柴Ａ	1.95	7.33	11638544	84552024	0.055	0.025	0.060	0.161	0.039	7.061	7.313	6.809	2.042	2.853	4.144	
000571	新大洲Ａ					0.035	-0.026	0.122	-0.046	-0.164	7.615	7.945	7.285	4.242	5.737	6.308	
000572	海马汽车	1.47	4.84	10259547	49180528	-0.074	-0.034	-0.080	-0.066	-0.004	5.100	5.374	4.826	-2.485	-4.662	-5.423	
000573	粤宏远Ａ	1.34	6.06	5730833	34299876	-0.133	-0.094	-0.077	-0.136	-0.042	6.337	6.680	5.994	-1.410	-3.234	-5.189	
000576	广东甘化	0.36	16.64	3174012	52754756	-0.117	-0.112	-0.011	-0.340	-0.201	16.609	16.988	16.230	1.371	0.874	-0.362	
000581	威孚高科	5.15	25.92	28163738	718383424	0.577	0.679	-0.204	2.114	2.404	25.228	26.645	23.810	2.430	2.356	4.599	
000582	北部湾港	1.02	11.90	9756295	115507336	-0.030	-0.115	0.170	-0.331	-0.817	11.607	12.299	10.915	-0.916	1.500	1.916	
000584	友利控股	3.57	13.05	6711451	87035808	0.153	0.241	-0.176	0.757	0.979	13.064	13.403	12.725	0.513	-0.006	-0.102	
000585	东北电气	0.57	5.31	10417033	55152076	-0.210	-0.255	0.090	-0.721	-0.781	5.340	5.761	4.919	0.791	1.675	-2.710	
000586	汇源通信	0.96	22.14	1129650	24945016	0.858	0.737	0.242	2.206	1.688	20.583	22.987	18.178	0.797	3.373	8.892	
000587	金洲慈航	2.51	8.18	32263302	261326704	0.154	0.096	0.115	0.336	0.206	7.583	8.043	7.123	4.248	6.234	8.261	
000589	黔轮胎Ａ	2.04	5.49	9843874	53444868	0.001	0.028	-0.053	0.122	0.137	5.563	5.816	5.309	-0.992	-2.066	-1.222	
000590	启迪古汉	0.19	16.00	897131	14375265	-0.219	-0.235	0.031	-0.385	-0.473	16.064	16.683	15.445	1.031	0.455	-1.420	
000591	太阳能	1.34	5.31	11456210	60087432	-0.045	-0.047	0.004	-0.044	-0.165	5.326	5.650	5.002	-0.748	-1.591	-0.717	
000592	平潭发展	0.98	5.15	10647180	54508352	-0.073	-0.016	-0.114	0.017	0.151	5.443	5.814	5.071	-0.771	-4.305	-6.050	
000593	大通燃气	1.34	8.29	1807312	14885027	-0.108	-0.035	-0.146	-0.048	0.049	8.725	9.247	8.203	-2.471	-4.877	-5.153	
000595	*ST宝实	2.56	4.80	11897233	56207752	0.044	0.039	0.009	0.246	0.168	4.738	5.071	4.405	0.244	-0.139	2.245	
000596	古井贡酒	1.17	47.62	3157925	149910480	-0.483	-0.213	-0.540	-0.506	0.554	49.229	52.132	46.325	-0.526	-1.304	-3.292	
000597	东北制药	2.02	11.12	12192300	132007632	0.116	0.166	-0.100	0.586	0.496	11.330	12.151	10.510	-3.304	-3.058	-1.097	
000598	兴蓉环境	1.62	5.66	20076572	112959824	0.014	0.028	-0.028	0.122	0.113	5.669	5.847	5.492	-0.118	-0.991	0.015	
000599	青岛双星	1.71	6.55	5453139	35468252	-0.081	-0.041	-0.080	-0.013	0.025	6.754	7.056	6.453	-0.858	-2.951	-3.535	
