历史行情.指标排序沪深Ａ股 日期:2017-07-19,三 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
600095	哈高科	0.88	9.19	10544791	96540728	0.251	0.263	-0.024	56.024	48.691	7.312	1917454.4	1442508.6	
600096	云天化	10.01	8.02	26148356	202185376	0.065	0.051	0.026	0.000	0.000	136.029	483755.6	156139.2	
600097	开创国际	0.83	17.08	1403082	23758780	-0.205	-0.054	-0.302	73.733	76.829	-144.516	168699.9	144508.6	
600098	广州发展	1.10	7.35	6115471	44702888	-0.027	0.031	-0.116	81.395	81.395	-152.654	301539.1	415921.5	
600099	林海股份	1.20	12.69	1057001	13374873	-0.211	-0.089	-0.244	64.593	70.040	-86.901	14335.98	-200.250	
600100	同方股份													
600101	明星电力	6.02	10.04	10010348	98614472	0.019	0.046	-0.054	44.928	44.928	-7.478	216339.6	111075.8	
600103	青山纸业	1.17	5.18	78246960	399583488	0.280	0.195	0.170	8.824	8.333	115.866	2338996.0	175473.7	
600104	上汽集团	-0.60	31.33	26318208	826080000	0.635	0.751	-0.234	53.629	33.586	-12.294	3019737.5	2988775.0	
600105	永鼎股份	0.26	7.75	4476153	34409304	-0.087	-0.043	-0.087	62.887	62.887	-139.919	227105.5	172603.3	
600106	重庆路桥	2.71	5.30	19071978	99587224	0.019	0.010	0.017	41.096	41.096	30.027	588787.6	83.464	
600107	美尔雅					0.735	0.734	0.002	49.372	19.125	78.645	261029.8	267838.7	
600108	亚盛集团	2.10	4.37	17335990	75065656	0.007	0.010	-0.006	48.485	43.243	-49.980	67949.95	-411371.8	
600109	国金证券	4.77	11.21	65447592	716550336	-0.168	-0.124	-0.088	45.902	60.241	-87.020	-874597.1	-93478.85	
600110	诺德股份	4.62	15.62	62594424	954305984	0.503	0.489	0.028	25.430	16.629	58.333	4110878.0	653957.9	
600111	北方稀土	2.57	14.36	215185136	3071863296	0.749	0.549	0.399	4.545	4.000	111.109	5384131.0	793945.2	
600112	*ST天成	0.90	6.73	7850143	52165408	0.053	0.114	-0.123	62.162	53.488	-137.334	393159.3	423993.3	
600113	浙江东日	1.43	13.47	5680458	75749864	-0.118	0.035	-0.306	74.204	74.204	-110.844	809943.8	567060.3	
600114	东睦股份	-0.78	16.44	5375750	87584696	-0.077	0.080	-0.314	79.717	79.717	-121.568	-87570.38	35127.89	
600115	东方航空	2.23	6.88	88281168	603693504	-0.009	-0.007	-0.004	9.524	20.833	76.988	5034892.0	4394305.0	
600116	三峡水利	0.10	9.94	14007122	139107920	-0.249	-0.125	-0.249	82.828	82.828	-126.586	192044.9	351446.1	
600117	西宁特钢	5.68	5.40	29119736	156354368	0.066	0.066	0.002	21.429	17.045	121.986	947814.3	227145.0	
600118	中国卫星	1.30	26.45	7453875	194956336	-0.213	-0.012	-0.402	70.588	70.588	-146.270	435274.8	344106.2	
600119	长江投资	1.42	13.61	4039076	54701364	-0.187	-0.041	-0.293	75.000	76.549	-144.117	232714.9	171686.6	
600120	浙江东方	1.74	25.10	5489019	136467696	-0.199	0.055	-0.508	75.068	75.068	-144.279	362433.1	193215.0	
600121	*ST郑煤	4.92	5.97	32270082	190515328	0.238	0.189	0.099	0.000	0.000	177.042	1482876.8	467665.7	
600122	宏图高科	0.00	10.70	13008165	138598432	-0.090	-0.050	-0.080	71.642	79.787	-176.887	-772218.6	-285076.8	
600123	兰花科创	10.05	9.31	115527304	1031180672	0.331	0.232	0.200	0.000	0.000	273.955	4088250.5	1306618.1	
600125	铁龙物流	0.61	9.82	67146952	656125696	0.251	0.172	0.158	15.000	12.245	207.297	3918678.8	1279687.1	
600126	杭钢股份	4.01	7.78	22476154	172221088	0.173	0.120	0.106	2.020	1.667	196.919	944342.2	292920.7	
600127	金健米业	1.32	5.38	8834722	47223152	-0.089	-0.070	-0.038	75.490	75.490	-148.792	176251.2	-72986.16	
600128	弘业股份	1.68	10.31	2277598	23210348	-0.140	-0.036	-0.208	67.143	76.042	-135.253	129232.9	160176.7	
600129	太极集团	0.15	13.19	4465938	58364684	0.084	0.114	-0.060	86.636	76.423	-62.654	58221.48	-49634.11	
600130	波导股份	2.29	5.81	15395871	89443360	0.029	0.099	-0.139	79.375	79.375	-84.853	1169787.4	822229.1	
600131	岷江水电	0.91	8.85	17690560	154807520	0.196	0.105	0.183	4.794	3.955	209.354	582240.7	71339.55	
600132	重庆啤酒	-1.55	24.09	3658531	87773760	0.560	0.617	-0.114	43.913	26.302	-1.710	361038.3	266876.3	
